PID,ISB,Strecke_Nummer,Strecke_Bezeichnung,Strecke_Art,BP_Von_Abschnitt,BP_Von_Abschnitt_Bezeichnung,BP_Bis_Abschnitt,BP_Bis_Abschnitt_Bezeichnung,Anzahl_Zuege,gdname,gd_ident,didok,KOORDZ,KOORDY,KOORDX,Reiner Betriebspunkt,TU Nummer,Bedienpunkt Cargo,land,Haltestelle,Gde Nummer,gdnr,TU Abkuerzung,Tarifhaltestelle,geopos_von,geopos_bis
SBB_PRUW_PR,SBB,27,Mutenz - HBT - Olten Nord,STRECKE,PRUW,Pratteln Ueberwerfung,PR,Pratteln,93922,Pratteln,Ident,15421,288.2,618110.85,263650.66,None,11,*,Switzerland,None,2831,2831,SBB CFF FFS,None,"7.67909274461, 47.5233449195","7.6908025588, 47.5226549995"
SBB_SIS_GKD,SBB,27,Mutenz - HBT - Olten Nord,STRECKE,SIS,Sissach,GKD,Gelterkinden,112177,Sissach,Ident,26,376.5,628154.36,256950.98,None,11,*,Switzerland,*,2861,2861,SBB CFF FFS,None,"7.81202303456, 47.4627364644","7.84765267675, 47.4658765627"
SBB_RLG_BUC,SBB,28,Sissach - AHT - Olten Nord,STRECKE,RLG,Rümlingen,BUC,Buckten,14993,Rümlingen,Ident,33,479.9,631079.01,252810.64,None,11,None,Switzerland,*,2859,2859,SBB CFF FFS,None,"7.85052292754, 47.4253670335","7.84778321852, 47.4089772372"
SBB_SIS_DIE,SBB,28,Sissach - AHT - Olten Nord,STRECKE,SIS,Sissach,DIE,Diepflingen,14993,Sissach,Ident,26,376.5,628154.36,256950.98,None,11,*,Switzerland,*,2861,2861,SBB CFF FFS,None,"7.81202303456, 47.4627364644","7.83770294778, 47.4495466859"
SBB_BGN_BGVL,SBB,29,Pratteln - Stein-Säckingen - Brugg Süd / Brugg,STRECKE,BGN,Brugg AG Nord (Abzw),BGVL,Brugg AG VL,253,Brugg,Ident,341,360.6,657217.98,259253.34,*,11,None,Switzerland,None,4095,4095,SBB CFF FFS,None,"8.19775874602, 47.4815585911","8.20502885757, 47.4748886721"
SBB_DOSS_MPF,SBB,29,Pratteln - Stein-Säckingen - Brugg Süd / Brugg,STRECKE,DOSS,Dossenboden (Spw),MPF,Mumpf,61031,Möhlin,Ident,343,341,632695.86,268096.43,*,11,None,Germany,None,4254,4254,SBB CFF FFS,None,"7.87307115873, 47.5627657744","7.90961100938, 47.5476162479"
SBB_RFAU_RF,SBB,29,Pratteln - Stein-Säckingen - Brugg Süd / Brugg,STRECKE,RFAU,Rheinfelden Augarten,RF,Rheinfelden,61296,Rheinfelden,Ident,313,285.4,624797.98,266177.77,None,11,None,Switzerland,*,4258,4258,SBB CFF FFS,None,"7.76802198607, 47.5458552268","7.79215190929, 47.5512053038"
SBB_FE_KB,SBB,30,Stein-Säckingen - Laufenburg - Koblenz,STRECKE,FE,Felsenau AG,KB,Koblenz,95,Leuggern,Ident,328,320.4,658844.01,273057.25,None,11,*,Switzerland,None,4313,4313,SBB CFF FFS,None,"8.22115624289, 47.6055579877","8.22700629295, 47.6003280411"
SBB_LFG_LEI,SBB,30,Stein-Säckingen - Laufenburg - Koblenz,STRECKE,LFG,Laufenburg,LEI,Leibstadt,73,Laufenburg,Ident,322,318,646861.74,267857.18,None,11,*,Switzerland,*,4170,4170,SBB CFF FFS,None,"8.06126965219, 47.5597567355","8.16553729554, 47.5932276343"
SBB_SLN_LFG,SBB,30,Stein-Säckingen - Laufenburg - Koblenz,STRECKE,SLN,Sisseln,LFG,Laufenburg,14181,Eiken,Ident,321,305.6,641740.87,266247.64,None,11,*,Switzerland,None,4161,4161,SBB CFF FFS,None,"7.99308055058, 47.5456265469","8.06126965219, 47.5597567355"
SBB_KLWL_NHOF,SBB,32,Brugg - Wettingen - Killwangen,STRECKE,KLWL,Killwangen Lehnenviadukt,NHOF,Neuenhof,78900,Neuenhof,Ident,19122,380.7,668293.28,254486.27,*,11,None,Switzerland,None,4034,4034,SBB CFF FFS,None,"8.34395792126, 47.4376297494","8.33121802422, 47.450659634"
SBB_TG_BGOS,SBB,32,Brugg - Wettingen - Killwangen,STRECKE,TG,Turgi,BGOS,Brugg AG Ost,128264,Turgi,Ident,3503,341.6,661402.05,260428.36,None,11,*,Switzerland,*,4042,4042,SBB CFF FFS,None,"8.253428543, 47.4917488491","8.2237488626, 47.4840387195"
SBB_BIRR_OTH,SBB,34,Brugg - Othmarsingen - Hendschiken,STRECKE,BIRR,Birr,OTH,Othmarsingen,29209,Birr,Ident,2247,399.1,658767.58,254184.93,None,11,None,Switzerland,*,4092,4092,SBB CFF FFS,None,"8.2176492915, 47.4358388647","8.21477937034, 47.4074188664"
SBB_LUPF_BIRR,SBB,34,Brugg - Othmarsingen - Hendschiken,STRECKE,LUPF,Lupfig,BIRR,Birr,29209,Lupfig,Ident,2237,390.4,658554.4,255220.22,None,11,*,Switzerland,*,4104,4104,SBB CFF FFS,None,"8.21495927618, 47.445168875","8.2176492915, 47.4358388647"
